Term,Session,AcadGroup,ClassNbr,Subject,CatalogNbr,Section,CourseTitle,Component,Codes,M,T,W,TH,F,S,SU,StartDate,EndDate,Time,Location,Instructor,Total,SeatsRemaining,HasWL,Units
Fall 2020,Regular Academic Session,Architecture & Urban Planning,10953,Architecture (ARCH) Open Sections,314,1,Structures I,LEC,A  ,M,,,,F,,,08/31/2020,12/8/20,1030-1130AM,REMOTE,von Buelow, , , ,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,10959,Architecture (ARCH) Open Sections,316,1,Design Fund I,LAB,P R,M,,W,,F,,,08/31/2020,12/8/20,930-1030AM,REMOTE,Roddier,130,70,N,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,10961,Architecture (ARCH) Open Sections,317,1,Construction,LAB,P R,,T,,,,,,08/31/2020,12/8/20,1-3PM,REMOTE,Borum,175,86,N,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,10961,Architecture (ARCH) Open Sections,317,1,Construction,LAB,P R,,T,,,,,,08/31/2020,12/8/20,3-6PM,REMOTE,,175,86,N,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,25449,Architecture (ARCH) Open Sections,357,2,"Arch, Sustainability",DIS,P  ,,,W,,,,,08/31/2020,12/8/20,10-11AM,REMOTE,,25,8,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,25450,Architecture (ARCH) Open Sections,357,3,"Arch, Sustainability",DIS,P  ,,,W,,,,,08/31/2020,12/8/20,10-11AM,REMOTE,,25,16,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,25451,Architecture (ARCH) Open Sections,357,4,"Arch, Sustainability",DIS,P  ,,,W,,,,,08/31/2020,12/8/20,10-11AM,REMOTE,,25,22,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,25453,Architecture (ARCH) Open Sections,357,6,"Arch, Sustainability",DIS,P  ,,,W,,,,,08/31/2020,12/8/20,12-1PM,REMOTE,,25,10,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,25454,Architecture (ARCH) Open Sections,357,7,"Arch, Sustainability",DIS,P  ,,,W,,,,,08/31/2020,12/8/20,12-1PM,REMOTE,,25,13,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,25455,Architecture (ARCH) Open Sections,357,8,"Arch, Sustainability",DIS,P  ,,,W,,,,,08/31/2020,12/8/20,1-2PM,REMOTE,,25,9,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,25456,Architecture (ARCH) Open Sections,357,9,"Arch, Sustainability",DIS,P  ,,,W,,,,,08/31/2020,12/8/20,1-2PM,REMOTE,,25,22,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,25457,Architecture (ARCH) Open Sections,357,10,"Arch, Sustainability",DIS,P  ,,,W,,,,,08/31/2020,12/8/20,1-2PM,REMOTE,,25,20,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,25448,Architecture (ARCH) Open Sections,357,1,"Arch, Sustainability",LEC,A  ,,T,,TH,,,,08/31/2020,12/8/20,9-10AM,REMOTE,, , , ,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,25380,Architecture (ARCH) Open Sections,409,3,Special Topics Arch,LEC,P R,,T,,,,,,08/31/2020,12/8/20,1-4PM,2213 A&AB,Ahlquist,15,4,Y,1.00-3.00
Fall 2020,Regular Academic Session,Architecture & Urban Planning,31543,Architecture (ARCH) Open Sections,409,306,Special Topics Arch,LEC,P R,,,,TH,,,,08/31/2020,12/10/20,1-4AM,REMOTE,Gilpin,12,12,N,1.00-3.00
Fall 2020,Regular Academic Session,Architecture & Urban Planning,35504,Architecture (ARCH) Open Sections,411,1,Becoming Digital,SEM,P  ,,,,TH,,,,08/31/2020,12/8/20,830-1130AM,REMOTE,Abrons,50,24,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,16543,Architecture (ARCH) Open Sections,412,1,Arch Design I,LAB,P R,M,,W,,F,,,08/31/2020,12/8/20,1-5PM,3100 A&AB,Fure,45,19,N,6
Fall 2020,Regular Academic Session,Architecture & Urban Planning,17427,Architecture (ARCH) Open Sections,413,1,History,LEC,P R,,T,,TH,,,,08/31/2020,12/8/20,10-1130AM,REMOTE,Knoblauch,45,18,N,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,22639,Architecture (ARCH) Open Sections,417,1,Construction,LAB,P R,,T,,,,,,08/31/2020,12/8/20,3-6PM,REMOTE,,175,86,N,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,22639,Architecture (ARCH) Open Sections,417,1,Construction,LAB,P R,,T,,,,,,08/31/2020,12/8/20,1-3PM,REMOTE,Borum,175,86,N,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,10968,Architecture (ARCH) Open Sections,423,3,Int U P&Env,DIS,P  ,,,,,F,,,08/31/2020,12/8/20,11-12PM,REMOTE,,25,5,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,10966,Architecture (ARCH) Open Sections,423,1,Int U P&Env,LEC,A  ,,T,,TH,,,,08/31/2020,12/8/20,10-11AM,REMOTE,D'Anieri, , , ,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,10970,Architecture (ARCH) Open Sections,432,1,Arch Des III,LAB,P R,M,,W,,F,,,08/31/2020,12/8/20,1-5PM,3100 A&AB,Unverzagt,150,93,N,6
Fall 2020,Regular Academic Session,Architecture & Urban Planning,39512,Architecture (ARCH) Open Sections,432,304,Arch Des III,LAB,P  ,M,,W,,F,,,08/31/2020,12/8/20,1-5PM,REMOTE,,1,1,N,6
Fall 2020,Regular Academic Session,Architecture & Urban Planning,39513,Architecture (ARCH) Open Sections,432,305,Arch Des III,LAB,P  ,M,,W,,F,,,08/31/2020,12/8/20,1-5PM,REMOTE,,1,1,N,6
Fall 2020,Regular Academic Session,Architecture & Urban Planning,20339,Architecture (ARCH) Open Sections,466,1,Dimensions,LEC,PI ,M,,,,,,,08/31/2020,12/8/20,7-9PM,REMOTE,Unverzagt,25,25,N,1
Fall 2020,Regular Academic Session,Architecture & Urban Planning,31000,Architecture (ARCH) Open Sections,505,2,Spec Topics Env Tech,LEC,P  ,,,W,,,,,08/31/2020,12/8/20,1-4PM,2213 A&AB,Junghans,10,8,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,39514,Architecture (ARCH) Open Sections,505,302,Spec Topics Env Tech,LEC,P  ,,,W,,,,,08/31/2020,12/8/20,1-4PM,REMOTE,Junghans,10,10,N,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,20393,Architecture (ARCH) Open Sections,506,2,Spec Topics Des Fund,SEM,P  ,,T,,,,,,08/31/2020,12/8/20,1-4PM,REMOTE,Groat,12,8,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,23791,Architecture (ARCH) Open Sections,509,4,Experimental Course,SEM,P  ,M,,,,,,,08/31/2020,12/8/20,830-1130AM,REMOTE,Fure,15,2,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,28134,Architecture (ARCH) Open Sections,509,6,Experimental Course,SEM,P  ,,,W,,,,,08/31/2020,12/8/20,830-1130AM,REMOTE,Haar,12,1,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,23792,Architecture (ARCH) Open Sections,509,8,Experimental Course,SEM,P  ,,,,,F,,,08/31/2020,12/8/20,830-1130AM,REMOTE,Morcillo Pallares,20,10,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,31213,Architecture (ARCH) Open Sections,509,14,Experimental Course,SEM,P  ,M,,,,,,,08/31/2020,12/8/20,830-1130AM,REMOTE,del Campo,20,10,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,39260,Architecture (ARCH) Open Sections,509,315,Experimental Course,SEM,P  ,,,W,,,,,08/31/2020,12/8/20,830-1130AM,REMOTE,Ng,10,9,N,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,33371,Architecture (ARCH) Open Sections,509,16,Experimental Course,SEM,P  ,,T,,,,,,08/31/2020,12/8/20,830-1130AM,REMOTE,Aguirre,20,9,Y,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,24763,Architecture (ARCH) Open Sections,515,2,Sustainable Systems,DIS,P R,,,,,F,,,08/31/2020,12/8/20,1030-1130AM,REMOTE,,140,44,N,3
